Zip Code,latitude,longitude,City,state,Store Number,Sales,Orders,Sales Forecast,Orders Forecast,Setup Cost,Decision
601,18.180555,-66.749961,Adjuntas,PR,A1,103632,21255,137261,32828,171347,0
602,18.361945,-67.175597,Aguada,PR,B1,111829,42131,344901,29572,166086,0
603,18.455183,-67.119887,Aguadilla,PR,C1,311606,37745,281485,45535,87953,1
606,18.158345,-66.932911,Maricao,PR,D1,124040,34552,387704,41857,14130,0
610,18.295366,-67.125135,Anasco,PR,E1,240343,14550,357271,32573,61995,1
612,18.402253,-66.711397,Arecibo,PR,F1,237633,30888,392963,39728,58011,1
616,18.420412,-66.671979,Bajadero,PR,G1,210916,14866,265341,38975,16254,1
617,18.445147,-66.559696,Barceloneta,PR,H1,316794,31693,306741,45774,83061,1
622,17.991245,-67.153993,Boqueron,PR,I1,180085,48590,259296,18992,167141,0
623,18.083361,-67.153897,Cabo Rojo,PR,J1,311789,45709,125602,45483,186625,1
624,18.064919,-66.716683,Penuelas,PR,K1,141723,33420,102292,25264,106310,0
627,18.4126,-66.863926,Camuy,PR,L1,261052,11989,193450,40761,75809,1
631,18.190607,-66.832041,Castaner,PR,M1,397537,26384,158011,44055,32498,1
637,18.076713,-66.947389,Sabana Grande,PR,N1,284988,37407,311656,26247,55047,1
638,18.295913,-66.515588,Ciales,PR,O1,359391,35889,336530,14394,146240,1
641,18.263085,-66.712985,Utuado,PR,P1,155243,29880,152800,44322,63239,0
646,18.43315,-66.285875,Dorado,PR,Q1,140179,46003,331366,41434,136547,0
647,17.963613,-66.947127,Ensenada,PR,R1,145678,42107,257892,40493,108311,0
650,18.349416,-66.578079,Florida,PR,S1,395497,12168,247393,21687,68245,1
652,18.448452,-66.594127,Garrochales,PR,T1,190238,41692,180899,26309,61899,0
653,17.985033,-66.886536,Guanica,PR,U1,107915,29484,383797,20148,191999,0
656,18.053539,-66.792931,Guayanilla,PR,V1,282044,46373,223498,49171,117413,1
659,18.407226,-66.808999,Hatillo,PR,W1,168346,20057,202922,12079,72647,0
660,18.134695,-67.116199,Hormigueros,PR,X1,361743,48039,196984,43121,104576,1
662,18.46832,-67.015781,Isabela,PR,Y1,314640,18742,321980,20989,79854,1
664,18.21033,-66.591616,Jayuya,PR,Z1,257963,49346,321325,17502,91789,1
667,18.003422,-67.03581,Lajas,PR,A2,253101,18765,108850,41138,60657,1
669,18.277102,-66.869645,Lares,PR,B2,196067,48900,213307,30101,94156,0
670,18.240187,-66.988776,Las Marias,PR,C2,179791,26160,228677,40488,142470,0
674,18.422908,-66.489337,Manati,PR,D2,267123,49348,277073,46681,133017,1
676,18.377637,-67.079574,Moca,PR,E2,293789,48518,281015,41856,69423,1
677,18.332568,-67.227022,Rincon,PR,F2,341115,12161,214870,45919,24161,1
678,18.434099,-66.927384,Quebradillas,PR,G2,246233,32931,198715,43707,18953,1
680,18.182055,-67.132502,Mayaguez,PR,H2,389754,40714,326319,26119,42984,1
682,18.221464,-67.156039,Mayaguez,PR,I2,233712,18464,145198,29383,85581,1
683,18.1078,-67.037263,San German,PR,J2,111434,30362,395545,11038,89252,0
685,18.332929,-66.959689,San Sebastian,PR,K2,258979,10079,206217,48895,21095,1
687,18.319026,-66.420557,Morovis,PR,L2,230644,49446,165210,29057,194841,1
688,18.382264,-66.626438,Sabana Hoyos,PR,M2,217924,11700,122364,27065,100900,1
690,18.49551,-67.098671,San Antonio,PR,N2,268528,36910,341610,18402,199681,1
692,18.410188,-66.336556,Vega Alta,PR,O2,210070,25025,121013,33479,93384,1
693,18.423,-66.397232,Vega Baja,PR,P2,244932,42679,283906,11342,146708,1
694,18.48237,-66.391079,Vega Baja,PR,Q2,352858,35250,226534,34288,195477,1
698,18.064848,-66.856319,Yauco,PR,R2,317460,38780,379632,44929,168750,1
703,18.248401,-66.130662,Aguas Buenas,PR,S2,313080,23237,359095,14721,197781,1
704,17.96577,-66.219555,Aguirre,PR,T2,301145,18884,183651,24936,147583,1
705,18.128961,-66.266683,Aibonito,PR,U2,383405,39953,200656,41196,140256,1
707,18.014055,-65.920751,Maunabo,PR,V2,252769,17691,182948,19564,34775,1
714,18.003025,-66.046237,Arroyo,PR,W2,338084,27200,141904,13175,29431,1
715,18.011233,-66.560065,Mercedita,PR,X2,199415,19986,100459,36270,178979,0
716,17.99204,-66.605856,Ponce,PR,Y2,275049,44592,335843,41325,176593,1
717,18.003222,-66.614037,Ponce,PR,Z2,288563,17454,229528,36995,197938,1
718,18.231988,-65.759623,Naguabo,PR,A3,126535,20818,245266,34345,138065,0
719,18.289927,-66.25344,Naranjito,PR,B3,236396,32016,395439,34205,199677,1
720,18.217946,-66.428076,Orocovis,PR,C3,321341,17759,223496,38787,111159,1
723,18.043498,-66.015479,Patillas,PR,D3,117861,33498,380925,11849,131293,0
725,18.218819,-66.042375,Caguas,PR,E3,255350,47130,275406,45291,178473,1
727,18.215308,-66.073565,Caguas,PR,F3,293910,14456,298928,14578,104976,1
728,17.989853,-66.664116,Ponce,PR,G3,236423,22032,396610,31201,55046,1
729,18.323585,-65.883206,Canovanas,PR,H3,127753,49850,160047,40674,102946,0
730,18.030831,-66.616838,Ponce,PR,I3,261519,14065,328105,42422,51765,1
731,18.109947,-66.635622,Ponce,PR,J3,132373,45044,195874,18479,15878,0
735,18.252604,-65.682494,Ceiba,PR,K3,185131,35078,199295,10662,104945,0
736,18.103624,-66.151667,Cayey,PR,L3,330043,37305,278487,49063,26414,1
738,18.304458,-65.698711,Fajardo,PR,M3,140526,40700,221062,22122,131530,0
739,18.177233,-66.160645,Cidra,PR,N3,289301,34848,330379,21028,112661,1
740,18.331178,-65.634104,Puerto Real,PR,O3,309432,49854,334609,43034,182405,1
741,18.163855,-65.754042,Punta Santiago,PR,P3,146756,20167,298006,20353,91413,0
745,18.352216,-65.817387,Rio Grande,PR,Q3,338591,10945,154978,15929,14567,1
751,18.001317,-66.252183,Salinas,PR,R3,233007,19057,171981,17070,70418,1
754,18.147107,-65.976167,San Lorenzo,PR,S3,157195,16063,108981,42545,130844,0
757,17.995441,-66.391334,Santa Isabel,PR,T3,124953,34500,122686,45053,66917,0
765,18.130096,-65.439369,Vieques,PR,U3,379411,34570,283312,39038,51623,1
766,18.133196,-66.476916,Villalba,PR,V3,239084,23154,327441,12823,134449,1
767,18.069489,-65.896161,Yabucoa,PR,W3,362441,29744,183855,41437,167905,1
769,18.1038,-66.357586,Coamo,PR,X3,293856,25148,133182,26998,15962,1
771,18.187148,-65.871189,Las Piedras,PR,Y3,372112,49699,299380,45632,116213,1
772,18.438969,-65.905174,Loiza,PR,Z3,337454,22122,380648,45952,173356,1
773,18.342888,-65.723109,Luquillo,PR,A4,222323,16757,345268,20401,151686,1
775,18.326599,-65.30772,Culebra,PR,B4,156884,33491,104051,47291,87168,0
777,18.224133,-65.908542,Juncos,PR,C4,183829,33242,128565,26065,147282,0
778,18.264076,-65.97851,Gurabo,PR,D4,226005,40826,322192,28606,193204,1
780,18.102834,-66.568105,Coto Laurel,PR,E4,129121,15493,389853,12470,21768,0
782,18.225708,-66.221633,Comerio,PR,F4,394148,12342,173382,13057,185634,1
783,18.30391,-66.326179,Corozal,PR,G4,195534,17073,327210,41004,186058,0
784,18.010714,-66.133615,Guayama,PR,H4,133983,26648,218952,17886,42537,0
786,18.155424,-66.229907,La Plata,PR,I4,135426,13305,395707,43451,97064,0
791,18.136782,-65.821476,Humacao,PR,J4,284392,19088,221102,27329,154691,1
794,18.198955,-66.309833,Barranquitas,PR,K4,210449,44231,283851,30106,150617,1
795,18.060494,-66.500624,Juana Diaz,PR,L4,274149,34458,184344,24246,144478,1
801,18.350449,-64.973886,St Thomas,VI,M4,255213,48513,190765,17837,193660,1
802,18.340862,-64.923479,St Thomas,VI,N4,272954,37604,258441,27698,177302,1
820,17.743072,-64.68657,Christiansted,VI,O4,237126,34202,303899,21207,27768,1
823,17.723541,-64.745932,Christiansted,VI,P4,144798,45040,135711,31484,197187,0
824,17.744557,-64.682933,Christiansted,VI,Q4,378593,39041,313195,23056,147555,1
830,18.33856,-64.736533,St John,VI,R4,318378,45200,184148,15122,14863,1
831,18.327294,-64.78672,St John,VI,S4,360542,23845,112384,36165,119038,1
840,17.747872,-64.880695,Frederiksted,VI,T4,390069,35297,399818,44375,86979,1
841,17.768133,-64.807852,Frederiksted,VI,U4,249046,46745,205324,34494,68957,1
850,17.709936,-64.750099,Kingshill,VI,V4,130895,31413,237692,46528,163429,0
851,17.732228,-64.77076,Kingshill,VI,W4,334760,20799,371071,20768,134575,1
901,18.465369,-66.104613,San Juan,PR,X4,334944,29382,342670,39646,133297,1
906,18.46446,-66.094995,San Juan,PR,Y4,236176,11643,150498,49614,153536,1
907,18.452553,-66.077838,San Juan,PR,Z4,299275,39199,390447,13713,151581,1
909,18.44161,-66.067132,San Juan,PR,A5,233379,28077,360290,39911,109707,1
911,18.451159,-66.056199,San Juan,PR,B5,364933,38072,194459,48820,25042,1
912,18.445328,-66.060135,San Juan,PR,C5,179109,23037,311807,37268,33320,0
913,18.450002,-66.042656,San Juan,PR,D5,397445,38732,218272,17068,183562,1
915,18.437179,-66.045571,San Juan,PR,E5,320787,41652,193325,49631,57890,1
917,18.420674,-66.050105,San Juan,PR,F5,338024,11664,299424,46460,66000,1
918,18.421022,-66.065789,San Juan,PR,G5,376430,22504,280541,28368,164970,1
920,18.414292,-66.088042,San Juan,PR,H5,243411,28655,124099,41319,15914,1
921,18.392282,-66.088555,San Juan,PR,I5,353832,41523,390079,43676,69875,1
923,18.409307,-66.038888,San Juan,PR,J5,302154,27252,359498,10656,192895,1
924,18.399192,-66.012453,San Juan,PR,K5,146685,41327,239958,26821,153930,0
925,18.400296,-66.050602,San Juan,PR,L5,224380,43467,173154,48006,97430,1
926,18.3454,-66.051545,San Juan,PR,M5,164714,32087,203872,28063,16214,0
927,18.388011,-66.072089,San Juan,PR,N5,344225,10054,313571,43546,138386,1
934,18.411313,-66.124234,Fort Buchanan,PR,O5,278795,19648,101370,33669,142553,1
936,18.395463,-66.073772,San Juan,PR,P5,211058,47012,213907,38954,52754,1
949,18.430696,-66.212833,Toa Baja,PR,Q5,123089,43607,307925,10640,100260,0
950,18.459699,-66.233101,Toa Baja,PR,R5,148341,19438,131381,43584,87828,0
951,18.42753,-66.253789,Toa Baja,PR,S5,187968,22702,158051,30281,16741,0
952,18.427448,-66.182026,Sabana Seca,PR,T5,270563,43686,297211,35564,80292,1
953,18.360729,-66.251527,Toa Alta,PR,U5,190005,39884,237228,12256,77161,0
956,18.321137,-66.170419,Bayamon,PR,V5,160322,47545,386140,36957,20631,0
957,18.368414,-66.187693,Bayamon,PR,W5,284407,14105,234088,42326,44890,1
959,18.39182,-66.154564,Bayamon,PR,X5,131982,26194,356199,45602,113091,0
960,18.416919,-66.145795,Bayamon,PR,Y5,385955,22538,317341,17089,154382,1
961,18.413286,-66.164617,Bayamon,PR,Z5,168106,42375,363468,36625,188812,0
962,18.444614,-66.148839,Catano,PR,A6,333358,37173,384150,43640,161591,1
965,18.433757,-66.114752,Guaynabo,PR,B6,301416,43162,165890,43855,12393,1
966,18.401521,-66.117597,Guaynabo,PR,C6,280026,44472,273145,47862,89874,1
968,18.406085,-66.101232,Guaynabo,PR,D6,124289,23249,195491,29116,86855,0
969,18.368062,-66.108062,Guaynabo,PR,E6,125850,24585,245345,45174,11143,0
971,18.318884,-66.11919,Guaynabo,PR,F6,141821,19451,233100,32531,109187,0
976,18.336176,-65.994099,Trujillo Alto,PR,G6,364609,17973,291444,38985,80525,1
979,18.444394,-66.030036,Carolina,PR,H6,198387,40910,184078,28213,47561,0
982,18.411261,-65.992045,Carolina,PR,I6,103798,25757,247782,20923,11176,0
983,18.417816,-65.975819,Carolina,PR,J6,384760,25438,192315,35361,63280,1
